,title,price,rating,post_url,img_url,seller_reputation
24,Computadora Pc Gamer Intel Core I7 16ram 512ssd 650w Black 2,428.99,5.0,https://articulo.mercadolibre.com.ve/MLV-780233632-computadora-pc-gamer-intel-core-i7-16ram-512ssd-650w-black-2-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_624453-MLV74486441824_022024-E.webp,4
25,Computadora Dell Cpu Intel I7/ 16gb Ram/ 500gb Hdd,228.00,4.9,https://articulo.mercadolibre.com.ve/MLV-719361692-computadora-dell-cpu-intel-i7-16gb-ram-500gb-hdd-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_727543-MLV50622393423_072022-E.webp,5
26,Computadora Pc Cpu Intel I7 8gb Ram 500gb Hdd 3ra Gen Refurb,169.99,5.0,https://articulo.mercadolibre.com.ve/MLV-714906150-computadora-pc-cpu-intel-i7-8gb-ram-500gb-hdd-3ra-gen-refurb-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_747420-MLV73044940574_112023-E.webp,5
27,Computadora Pc Intel Core I5 6ta Generación Me 8gb Hdd 500gb,163.00,5.0,https://articulo.mercadolibre.com.ve/MLV-718034076-computadora-pc-intel-core-i5-6ta-generacion-me-8gb-hdd-500gb-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_620161-MLV50357177862_062022-E.webp,5
28,Computador Para Juegos Tipo Gamer Ryzen 5,422.00,5.0,https://articulo.mercadolibre.com.ve/MLV-789594142-computador-para-juegos-tipo-gamer-ryzen-5-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_736272-MLV75168428642_032024-E.webp,5
29,Mini Pc Hp Computadora Cpu Intel 6ta Gen I5-6500/8gb Ram/ssd,129.99,5.0,https://articulo.mercadolibre.com.ve/MLV-722271835-mini-pc-hp-computadora-cpu-intel-6ta-gen-i5-65008gb-ramssd-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_760245-MLV77710602448_072024-E.webp,4
30,Computadora Cpu Dell Intel I3 8gb Ram 250gb Disco Duro ,127.00,4.4,https://articulo.mercadolibre.com.ve/MLV-700156377-computadora-cpu-dell-intel-i3-8gb-ram-250gb-disco-duro-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_780298-MLV47284019058_082021-E.webp,5
31,Cpu Dell Inspiron Intel Core I7 6700 16gb Ram 500gb Hdd,271.43,none,https://articulo.mercadolibre.com.ve/MLV-725630146-cpu-dell-inspiron-intel-core-i7-6700-16gb-ram-500gb-hdd-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_909730-MLV76370234668_052024-E.webp,5
32,Computadora Dell Intel Core I7 3era Ram 8gb Disco Duro 500gb,177.00,5.0,https://articulo.mercadolibre.com.ve/MLV-705211036-computadora-dell-intel-core-i7-3era-ram-8gb-disco-duro-500gb-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_620109-MLV54969268010_042023-E.webp,5
33,"Cpu Gamer Ryzen 5 5600g 16gb Ram,nuevo Oferta",260.00,none,https://articulo.mercadolibre.com.ve/MLV-814064576-cpu-gamer-ryzen-5-5600g-16gb-ramnuevo-oferta-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=f3167241-49fe-4aac-9b3d-1ecb502bc920,https://http2.mlstatic.com/D_Q_NP_2X_657300-MLV80147700303_102024-E.webp,4
